Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2021-01-01 10:36","2021-01-01 11:06","0:29:56","2.2340779502473014","67.11023622047244","126","0:13:24","4.477248293593121","197.20714274739925","171.64599999999967","256.5060000000002","44.47",,"10.999999708599546","79"
"High Intensity Interval Training","2020-12-31 17:04","2020-12-31 17:35","0:31:00",,"111.09375","131",,,,"297.7199999999999","388.06700000000114",,,"6.999999814563353","100"
"Outdoor Walking","2020-12-31 11:04","2020-12-31 11:47","0:43:14","3.642313853213709","79.60726072607261","144","0:11:52","5.053038877981591","218.14535574294257","245.05299999999988","369.443000000002","28.89",,"5.9999998410543185","100"
"Outdoor Walking","2020-12-30 14:10","2020-12-30 15:05","0:45:37","3.6996031673293035","70.93870967741935","93","0:12:19","4.8657760316588154","203.69533803787508","252.85500000000053","392.66600000000244","43.65",,"7.999999788072387","77"
"Outdoor Walking","2020-12-29 15:58","2020-12-29 16:45","0:47:21","4.2352069011262214","92.3423645320197","115","0:11:10","5.366467830253373","231.50282912727917","289.3880000000003","425.18799999999834","48.65",,"3.9999998940362502","97"
"High Intensity Interval Training","2020-12-29 15:02","2020-12-29 15:34","0:31:00",,"112.50393700787401","141",,,,"313.95899999999983","409.486",,,"3.9999998940362502","96"
"Outdoor Walking","2020-12-29 10:04","2020-12-29 10:26","0:22:40","1.7884800939199923","73.31889763779527","131","0:12:40","4.733194745269688","204.13809291895035","123.12499999999994","203.9010000000003","29.87",,"1.9999999470181251","95"
"Outdoor Running","2020-12-28 15:29","2020-12-28 16:07","0:38:09","4.844599404915818","164.02083333333334","169","0:07:52","7.616308683305642","278.33806777855756","420.2840000000011","534.2560000000028","42.63",,"6.999999814563353","87"
"Outdoor Running","2020-12-27 17:09","2020-12-27 17:34","0:24:17","3.2451585521496784","117.0734693877551","132","0:07:29","8.015187097535698","0.01765487036352993","290.7090000000004","367.47600000000085","28.86",,"5.9999998410543185","97"
"Outdoor Running","2020-12-25 15:37","2020-12-25 16:10","0:32:54","4.836884006533394","124.17721518987342","148","0:06:48","8.817270321550119","295.67510242909145","436.6029999999993","537.2249999999999","44.88",,"3.9999998940362502","90"
"Outdoor Walking","2020-12-25 09:38","2020-12-25 10:34","0:53:58","4.531351713953481","72.92814371257485","102","0:11:54","5.0371081270696845","216.6271995610391","326.85799999999955","474.0829999999985","60.08",,"3.9999998940362502","96"
"Outdoor Running","2020-12-24 15:32","2020-12-24 15:43","0:11:26","1.6322675813628134","117.77037037037037","192","0:07:00","8.55691290212553","150.6301010498492","147.4740000000001","205.01000000000016","16.75",,"1.9999999470181251","90"
"Outdoor Walking","2020-12-24 10:50","2020-12-24 11:42","0:50:37","4.3037564964071064","73.76785714285714","91","0:11:45","5.100622016992637","222.8039619408878","329.5069999999982","463.78599999999574","51.99",,"0.999999973509091","90"
"Outdoor Running","2020-12-23 16:41","2020-12-23 16:52","0:11:00","1.6417715671822224","118.696","145","0:06:42","8.948992311645977","151.31858512482614","150.87399999999997","206.40500000000006","16.580000000000002",,"0.999999973509091","89"
"Outdoor Walking","2020-12-23 10:21","2020-12-23 11:11","0:50:19","4.283649911377026","72.70978441127694","95","0:11:44","5.107860238372234","222.09226259240742","295.7420000000004","434.4899999999982","53.26",,"0.00000000000005684341886080802","95"
"Outdoor Walking","2020-12-22 15:53","2020-12-22 16:39","0:45:10","3.9825954542362014","80.45132743362832","135","0:11:20","5.289676050452418","226.30403100188772","265.53900000000016","396.7409999999998","34.07",,"1.9999999470181251","94"
"Outdoor Walking","2020-12-22 09:59","2020-12-22 11:02","0:47:41","3.9165299281559856","70.83401360544218","132","0:12:10","4.927056290459962","219.10139994941605","262.4450000000008","421.80700000000047","30.830000000000002",,"0.00000000000005684341886080802","99"
"Outdoor Walking","2020-12-20 14:17","2020-12-20 15:06","0:47:25","4.33604181018511","89.06625258799171","120","0:10:56","5.486290723081347","231.10577987970336","329.7490000000006","460.4419999999986","47.74",,"9.999999735090512","84"
"Outdoor Running","2020-12-20 11:38","2020-12-20 11:51","0:13:12","1.8824619193798795","159.71428571428572","173","0:07:00","8.554243818315134","282.28054794962287","166.91899999999993","223.04400000000004","17.79",,"9.999999735090512","79"
"Outdoor Running","2020-12-19 16:53","2020-12-19 17:04","0:11:02","1.6135100049122297","124.34285714285714","166","0:06:50","8.764868288966651","283.3157667422793","148.81500000000008","205.28300000000007","25.98",,"6.999999814563353","87"
"Outdoor Walking","2020-12-19 11:21","2020-12-19 12:20","0:58:54","5.278451836206251","76.00569800569801","127","0:11:09","5.376587637784995","224.96291103465208","364.8140000000006","520.8339999999986","60.22",,"7.999999788072387","78"
"Outdoor Walking","2020-12-18 09:52","2020-12-18 10:16","0:23:58","2.0538946530199755","75.10188679245283","128","0:11:40","5.139506462305186","218.47352863580676","163.61999999999998","244.83700000000024","44.03",,"6.999999814563353","89"
"Outdoor Running","2020-12-17 19:35","2020-12-17 19:47","0:11:45","1.6374191098812443","121.41237113402062","134","0:07:11","8.350280381541706","256.03760535957787","157.44000000000003","212.23600000000005","21.2",,"6.999999814563353","92"
"Outdoor Walking","2020-12-17 14:00","2020-12-17 14:50","0:49:09","4.379476000494345","85.53002610966057","109","0:11:13","5.346244436001189","228.37508203434908","293.3799999999996","424.7690000000015","43.22",,"7.999999788072387","87"
"Outdoor Running","2020-12-16 17:06","2020-12-16 17:17","0:10:24","1.3621911519588579","117.01694915254237","167","0:07:38","7.851142646353616","263.18870266980804","126.53100000000003","173.02200000000005","17.42",,"7.999999788072387","88"
"Outdoor Walking","2020-12-16 12:33","2020-12-16 13:21","0:47:42","4.327748437820577","78.75451263537906","94","0:11:01","5.442066504406586","227.00457854268237","295.0169999999997","423.4039999999978","56.620000000000005",,"9.999999735090512","75"
"Outdoor Walking","2020-12-15 17:34","2020-12-15 17:50","0:15:34","1.2613308535991945","88.42758620689655","131","0:12:21","4.858042491412845","206.5780979977779","109.736","167.4380000000002","25.57",,"7.999999788072387","87"
"Outdoor Walking","2020-12-15 12:08","2020-12-15 13:02","0:52:29","4.546667080440573","76.47191011235955","131","0:11:32","5.1972076053063985","222.06957286946718","319.3390000000003","467.7059999999976","53.82",,"7.999999788072387","89"
"Outdoor Walking","2020-12-14 13:18","2020-12-14 14:07","0:49:16","4.360095597610634","78.9","99","0:11:18","5.308370652550221","224.21434597910638","311.4440000000002","445.42799999999806","49.89",,"7.999999788072387","89"
"Outdoor Running","2020-12-13 14:46","2020-12-13 14:57","0:10:57","1.615458982771872","123.44444444444444","137","0:06:46","8.851247125525038","272.80948824172333","158.07600000000002","183.0660000000001","13.620000000000001",,"3.9999998940362502","96"
"Outdoor Walking","2020-12-13 10:51","2020-12-13 11:20","0:28:42","1.8329535030980224","68.5904761904762","88","0:15:39","3.831483597098368","172.1518540660364","129.77699999999993","219.29700000000048","17.56",,"5.9999998410543185","80"
"Indoor Running","2020-12-12 21:47","2020-12-12 21:49","0:01:54","0.21885417805884638","90.52380952380952","94","0:08:43","6.883256244446962","130.52304355265306","20.591000000000015","46.77700000000003",,,"0.999999973509091","87"
"Outdoor Running","2020-12-12 14:59","2020-12-12 15:23","0:23:52","3.321661707751231","117.6376811594203","126","0:07:11","8.347720139673026","288.85412137178304","304.1439999999999","383.3670000000003","36.65",,"3.9999998940362502","87"
"Outdoor Walking","2020-12-11 13:56","2020-12-11 14:09","0:13:00","0.9547579995834403","84","102","0:13:37","4.403857068442814","211.14228858368682","83.3380000000001","132.6550000000002","19.68",,"6.999999814563353","76"
"Outdoor Running","2020-12-11 13:27","2020-12-11 13:52","0:24:42","3.388227124497822","113.7937062937063","123","0:07:17","8.225105175038209","288.0840427922876","306.58399999999943","361.01099999999985","33.72",,"6.999999814563353","76"
"Outdoor Walking","2020-12-11 10:00","2020-12-11 10:37","0:36:11","2.3790236269593206","71.40599455040872","99","0:15:12","3.9436179849639905","170.6952664848471","164.48899999999932","271.1319999999992","17.31",,"5.9999998410543185","87"
"Outdoor Running","2020-12-10 14:24","2020-12-10 14:48","0:24:32","3.3001742326253076","117.91636363636364","131","0:07:26","8.06724260888265","287.469348357943","290.52399999999994","371.4660000000002","29.46",,"5.9999998410543185","87"
"Outdoor Walking","2020-12-09 15:49","2020-12-09 16:40","0:50:06","4.280262014197185","110.13196480938416","122","0:11:42","5.125735861766881","217.54161804792267","301.54700000000065","439.17099999999823","47.89",,"7.999999788072387","88"
